type,id,name,check,favorite
1,1,flour,0,0
1,2,pasta,0,0
1,3,tortilla,0,0
1,4,bread,0,0
2,5,beef,0,0
2,6,shrimp,0,0
2,7,fish,0,0
2,8,salmon,0,0
2,9,tuna,0,0
2,10,crab,0,0
2,11,duck,0,0
2,12,chrizo,0,0
2,13,ham,0,0
3,14,whiskey,0,0
3,15,wine,0,0
3,16,rum,0,0
4,17,apple,0,0
4,18,avocado,0,0
4,19,banana,0,0
4,20,blueberry,0,0
4,21,lemon,0,0
4,22,passionfruit,0,0
4,23,peach,0,0
5,24,artichoke,0,0
5,25,asparagus,0,0
5,26,cauliflower,0,0
5,27,onion,0,0
5,28,potato,0,0
5,29,tomato,0,0
6,30,almond,0,0
6,31,bean,0,0
6,32,cream,0,0
6,33,egg,0,0
6,34,lentil,0,0
6,35,nut,0,0
6,36,pumpkin,0,0
